iter	Passed	Remaining
646	7861	4289
647	7873	4276
648	7885	4264
649	7896	4251
650	7908	4239
651	7920	4227
652	7931	4214
653	7943	4202
654	7955	4190
655	7967	4177
656	7979	4165
657	7990	4152
658	8001	4140
659	8012	4127
660	8025	4115
661	8036	4103
662	8047	4090
663	8059	4078
664	8070	4065
665	8083	4053
666	8096	4042
667	8108	4030
668	8119	4017
669	8132	4005
670	8145	3993
671	8157	3981
672	8168	3969
673	8181	3957
674	8194	3945
675	8206	3933
676	8217	3920
677	8229	3908
678	8242	3896
679	8253	3884
680	8266	3872
681	8278	3859
682	8291	3848
683	8304	3836
684	8315	3823
685	8327	3811
686	8339	3799
687	8350	3787
688	8362	3774
689	8374	3762
690	8385	3749
691	8396	3737
692	8409	3725
693	8422	3713
694	8432	3700
695	8443	3688
696	8456	3676
697	8467	3663
698	8479	3651
699	8491	3639
700	8502	3626
701	8514	3614
702	8526	3602
703	8538	3590
704	8549	3577
705	8561	3565
706	8574	3553
707	8585	3540
708	8596	3528
709	8608	3516
710	8620	3504
711	8632	3491
712	8645	3479
713	8656	3467
714	8669	3455
715	8680	3443
716	8692	3430
717	8704	3418
718	8718	3407
719	8730	3395
720	8742	3382
721	8753	3370
722	8764	3358
723	8776	3345
724	8788	3333
725	8799	3321
726	8812	3309
727	8823	3296
728	8836	3285
729	8848	3272
730	8859	3260
731	8871	3247
732	8883	3235
733	8894	3223
734	8907	3211
735	8919	3199
736	8930	3186
737	8942	3174
738	8953	3162
739	8966	3150
740	8976	3137
741	8988	3125
742	9000	3113
743	9014	3101
744	9026	3089
745	9039	3077
746	9052	3065
747	9064	3053
748	9075	3041
749	9087	3029
750	9099	3016
751	9111	3004
752	9124	2992
753	9136	2980
754	9149	2968
755	9161	2956
756	9174	2945
757	9187	2933
758	9200	2921
759	9213	2909
760	9224	2897
761	9235	2884
762	9248	2872
763	9260	2860
764	9272	2848
765	9284	2836
766	9296	2824
767	9307	2811
768	9319	2799
769	9331	2787
770	9341	2774
771	9353	2762
772	9366	2750
773	9377	2738
774	9388	2725
775	9401	2713
776	9413	2701
777	9425	2689
778	9437	2677
779	9449	2665
780	9462	2653
781	9473	2641
782	9485	2628
783	9497	2616
784	9509	2604
785	9520	2592
786	9532	2579
787	9543	2567
788	9554	2555
789	9566	2543
790	9579	2530
791	9591	2518
792	9603	2506
793	9615	2494
794	9627	2482
795	9639	2470
796	9650	2458
797	9663	2446
798	9675	2433
799	9686	2421
800	9697	2409
801	9710	2397
802	9721	2384
803	9734	2372
804	9745	2360
805	9757	2348
806	9768	2336
807	9780	2324
808	9793	2312
809	9804	2299
810	9816	2287
811	9828	2275
812	9840	2263
813	9852	2251
814	9864	2239
815	9877	2227
816	9889	2215
817	9900	2202
818	9912	2190
819	9923	2178
820	9935	2166
821	9947	2154
822	9959	2141
823	9971	2129
824	9983	2117
825	9995	2105
826	10008	2093
827	10021	2081
828	10033	2069
829	10044	2057
830	10056	2045
831	10067	2032
832	10080	2020
833	10092	2008
834	10105	1996
835	10116	1984
836	10129	1972
837	10143	1960
838	10156	1948
839	10166	1936
840	10178	1924
841	10192	1912
842	10205	1900
843	10216	1888
844	10229	1876
845	10241	1864
846	10252	1852
847	10264	1839
848	10275	1827
849	10288	1815
850	10300	1803
851	10312	1791
852	10324	1779
853	10336	1767
854	10347	1754
855	10359	1742
856	10371	1730
857	10383	1718
858	10394	1706
859	10407	1694
860	10418	1682
861	10430	1669
862	10442	1657
863	10455	1645
864	10466	1633
865	10477	1621
866	10489	1609
867	10501	1597
868	10516	1585
869	10529	1573
870	10541	1561
871	10553	1549
872	10564	1536
873	10576	1524
874	10588	1512
875	10600	1500
876	10612	1488
877	10625	1476
878	10636	1464
879	10649	1452
880	10664	1440
881	10675	1428
882	10686	1416
883	10698	1403
884	10710	1391
885	10722	1379
886	10734	1367
887	10745	1355
888	10757	1343
889	10771	1331
890	10783	1319
891	10796	1307
892	10809	1295
893	10822	1283
894	10837	1271
895	10850	1259
896	10862	1247
897	10873	1235
898	10885	1222
899	10897	1210
900	10907	1198
901	10920	1186
902	10932	1174
903	10943	1162
904	10955	1150
905	10966	1137
906	10979	1125
907	10990	1113
908	11004	1101
909	11016	1089
910	11028	1077
911	11041	1065
912	11053	1053
913	11066	1041
914	11078	1029
915	11089	1016
916	11102	1004
917	11114	992
918	11126	980
919	11138	968
920	11150	956
921	11163	944
922	11176	932
923	11187	920
924	11199	908
925	11212	896
926	11223	883
927	11236	871
928	11248	859
929	11260	847
930	11271	835
931	11283	823
932	11295	811
933	11307	799
934	11319	786
935	11331	774
936	11343	762
937	11354	750
938	11368	738
939	11379	726
940	11392	714
941	11403	702
942	11416	690
943	11429	678
944	11442	665
945	11453	653
946	11466	641
947	11477	629
948	11488	617
949	11499	605
950	11511	593
951	11523	581
952	11535	568
953	11547	556
954	11559	544
955	11570	532
956	11582	520
957	11594	508
958	11607	496
959	11618	484
960	11629	471
961	11641	459
962	11652	447
963	11664	435
964	11677	423
965	11689	411
966	11700	399
967	11712	387
968	11724	375
969	11735	362
970	11747	350
971	11758	338
972	11770	326
973	11782	314
974	11793	302
975	11804	290
976	11816	278
977	11828	266
978	11841	254
979	11853	241
980	11865	229
981	11877	217
982	11889	205
983	11900	193
984	11912	181
985	11924	169
986	11937	157
987	11948	145
988	11960	133
989	11971	120
990	11983	108
991	11996	96
992	12009	84
993	12021	72
994	12032	60
995	12044	48
996	12056	36
997	12067	24
998	12079	12
999	12092	0
